name,massBH,massBHerr,compMass,compType,binType,parentName,period,method,BHtype,location,distance,refcompmass,refcomp,refbhmass,refper,num
GRS1124-68,6.95,e0.6-0.6,0.3,K-type star,X-ray binary,,20.392,Xray,,Milky Way,,"Shahbaz, T., Naylor, T., & Charles, P. A. 1997, MNRAS, 285, 607","Shahbaz, T., Naylor, T., & Charles, P. A. 1997, MNRAS, 285, 607","Gelino, D. M., Harrison, T. E., & McNamara, B. J. 2001a, AJ, 122, 971","Orosz, J. A., Bailyn, C. D., McClintock, J. E., & Remillard, R. A. 1996,ApJ, 468, 380",13
GS2023+338,12,e2-2,0.5,K-type star,X-ray binary,,156,Xray,,Milky Way,,"Casares, J., & Charles, P. A. 1994, in American Institute of Physics Conference Series, Vol. 308, The Evolution of X-ray Binariese, ed. S. Holt & C. S. Day, 107","Khargharia, J., Froning, C. S., & Robinson, E. L. 2010, ApJ, 716, 1105","Shahbaz, T., Ringwald, F. A., Bunn, J. C., et al. 1994, MNRAS, 271, L10","Casares, J., Charles, P. A., & Naylor, T. 1992, Nature, 355, 614",12
XTEJ1859+226,7.7,e1.3-1.3,0.5,K-type star,X-ray binary,,6.58,Xray,,Milky Way,,-,"Corral-Santana, J. M., Casares, J., Shahbaz, T., et al. 2011, MNRAS, 413,L15","Shaposhnikov, N., Titarchuk, L., & Laurent, P. 2009, ApJ, 699, 1223","Corral-Santana, J. M., Casares, J., Shahbaz, T., et al. 2011, MNRAS, 413,L15",11
XTEJ1650-50(0),5.1,~5.1,0.7,K-type star,X-ray binary,,7.63,Xray,,Milky Way,,-,"Orosz, J. A., McClintock, J. E., Remillard, R. A., & Corbel, S. 2004, ApJ,616, 376","Slan&yacute;, P., & Stuchl&iacute;k, Z. 2008, A&A, 492, 319","Orosz, J. A., McClintock, J. E., Remillard, R. A., & Corbel, S. 2004, ApJ,616, 376",10
A0620-00,6.6,e0.25-0.25,0.68,K-type star,X-ray binary,,7.75,Xray,,Milky Way,,"Gelino, D. M., Harrison, T. E., & Orosz, J. A. 2001b, AJ, 122, 2668","Froning, C. S., Cantrell, A. G., Maccarone, T. J., et al. 2011, ApJ, 743, 26","Cantrell, A. G., Bailyn, C. D., Orosz, J. A., et al. 2010, ApJ, 710, 1127","Johannsen, T., Psaltis, D., & McClintock, J. E. 2009, ApJ, 691, 997",9
H1705-25,6.4,r4.9-7.9,0.15,K/M-type star,X-ray binary,,12.55,Xray,,Milky Way,,"Martin, A. C., Casares, J., Charles, P. A., van der Hooft, F., & van Paradijs, J. 1995, MNRAS, 274, L46","Filippenko, A. V., Matheson, T., Leonard, D. C., Barth, A. J., & van Dyk,S. D. 1997, PASP, 109, 461","Harlaftis, E. T., Steeghs, D., Horne, K., & Filippenko, A. V. 1997, AJ, 114,1170","Harlaftis, E. T., Steeghs, D., Horne, K., & Filippenko, A. V. 1997, AJ, 114,1170",8
GX339-4,7,>7,0.3,K-type star,X-ray binary,,42,Xray,,Milky Way,,"Mu&ntilde;oz-Darias, T., Casares, J., & Mart&iacute;nez-Pais, I. G. 2008, MNRAS, 385,2205","Hynes, R. I., Steeghs, D., Casares, J., Charles, P. A., & OêBrien, K. 2003,ApJL, 583, L95","Mu&ntilde;oz-Darias, T., Casares, J., & Mart&iacute;nez-Pais, I. G. 2008, MNRAS, 385,2205","Hynes, R. I., Steeghs, D., Casares, J., Charles, P. A., & OêBrien, K. 2003,ApJL, 583, L95",7
GRS1716-249,4.9,>4.9,1.6,K-type star,X-ray binary,,14.7,Xray,,Milky Way,,"Masetti, N., Bianchini, A., Bonibaker, J., della Valle, M., & Vio, R. 1996,A&A, 314, 123","Masetti, N., Bianchini, A., Bonibaker, J., della Valle, M., & Vio, R. 1996,A&A, 314, 123","Masetti, N., Bianchini, A., Bonibaker, J., della Valle, M., & Vio, R. 1996,A&A, 314, 123","Masetti, N., Bianchini, A., Bonibaker, J., della Valle, M., & Vio, R. 1996,A&A, 314, 123",6
GRS1009-45,8.5,~8.5,0.5,G-type star,X-ray binary,,6.86,Xray,,Milky Way,,"Macias, P., Orosz, J. A., Bailyn, C. D., et al. 2011, in Bulletin of the American Astronomical Society, Vol. 43, American Astronomical Society Meeting Abstracts #217, #143.04","della Valle, M., Benetti, S., Cappellaro, E., & Wheeler, C. 1997, A&A, 318,179","Macias, P., Orosz, J. A., Bailyn, C. D., et al. 2011, in Bulletin of theAmerican Astronomical Society, Vol. 43, American Astronomical SocietyMeeting Abstracts #217, #143.04","Shahbaz, T., van der Hooft, F., Charles, P. A., Casares, J., & van Paradijs, J. 1996, MNRAS, 282, L47",5
GROJ0422+32,10.4,~10.4,0.45,M-type star,X-ray binary,,5.09,Xray,,Milky Way,,"Reynolds, M. T., Callanan, P. J., & Filippenko, A. V. 2007, MNRAS, 374,657","Gelino, D. M., & Harrison, T. E. 2003, ApJ, 599, 1254","Reynolds, M. T., Callanan, P. J., & Filippenko, A. V. 2007, MNRAS, 374,657","Reynolds, M. T., Callanan, P. J., & Filippenko, A. V. 2007, MNRAS, 374,657",4
GS2000+25,6.55,~6.55,0.16,K-type star,X-ray binary,,8.26,Xray,,Milky Way,,"Ioannou, Z., Robinson, E. L., Welsh, W. F., & Haswell, C. A. 2004, AJ, 127,481","Harlaftis, E. T., Horne, K., & Filippenko, A. V. 1996, PASP, 108, 762","Ioannou, Z., Robinson, E. L., Welsh, W. F., & Haswell, C. A. 2004, AJ, 127,481","Chevalier, C., & Ilovaisky, S. A. 1990, A&A, 238, 163",3
XTEJ1550-564,10.5,e1-1,0.3,K-type star,X-ray binary,,37,Xray,,Milky Way,,"Orosz, J. A., Steiner, J. F., McClintock, J. E., et al. 2011b, ApJ, 730, 75","Orosz, J. A., Steiner, J. F., McClintock, J. E., et al. 2011b, ApJ, 730, 75","Li, Z. B., Qu, J. L., Song, L. M., Ding, G. Q., & Zhang, C. M. 2013,MNRAS, 428, 1704","Orosz, J. A., Steiner, J. F., McClintock, J. E., et al. 2011b, ApJ, 730, 75",2
XTEJ1118+480,7.55,r6.9-8.2,0.22,K/M-type star,X-ray binary,,4.08,Xray,,Milky Way,,"Gonz&aacute;lez Hern&aacute;ndez, J. I., Rebolo, R., & Israelian, G. 2008, A&A, 478, 203","Khargharia, J., Froning, C. S., Robinson, E. L., & Gelino, D. M. 2013, AJ,145, 21","Khargharia, J., Froning, C. S., Robinson, E. L., & Gelino, D. M. 2013, AJ,145, 21","Martin, R. G., Reis, R. C., & Pringle, J. E. 2008, MNRAS, 391, L15",1
