name,name-or-unicode,massBH,massBHerr,compMass,compType,binType,parentName,period,method,BHtype,location,distance,refcompmass,refcomp,refbhmass,refper,num
GW151226-B,&#2862;&#2852;&#2919;&#2923;&#2919;&#2920;&#2920;&#2924;-&#2838;,7.5,e2.3-2.3,14.2,Black hole,Binary black hole,GW151226,,GW,secondary,Extragalactic,780-1860,-,-,"LIGO Scientific Collaboration & Virgo Collaboration, 2016",-,31
GW151226,&#2862;&#2852;&#2919;&#2923;&#2919;&#2920;&#2920;&#2924;,20.1,e6.1-1.7,None,None,Binary black hole,,,GW,final,Extragalactic,780-1860,-,-,"LIGO Scientific Collaboration & Virgo Collaboration, 2016",-,30
GW151226-A,&#2862;&#2852;&#2919;&#2923;&#2919;&#2920;&#2920;&#2924;-&#2837;,14.2,e8.3-3.7,7.5,Black hole,Binary black hole,GW151226,,GW,primary,Extragalactic,780-1860,-,-,"LIGO Scientific Collaboration & Virgo Collaboration, 2016",-,29
LVT151012-B,&#2866;&#2878;&#2823;&#2839;&#2891;-&#2861;&#2879;&#2864;&#2839;&#2891;&#2919;&#2923;&#2919;&#2918;&#2919;&#2920;-&#2838;,13,e4-5,23,Black hole,Binary black hole,LVT151012,,LVT,secondary,Extragalactic,1730-4960,-,-,"LIGO Scientific Collaboration & Virgo Collaboration, 2016",-,28
LVT151012,&#2866;&#2878;&#2823;&#2839;&#2891;-&#2861;&#2879;&#2864;&#2839;&#2891;&#2919;&#2923;&#2919;&#2918;&#2919;&#2920;,35,e14-4,None,None,Binary black hole,,,LVT,final,Extragalactic,1730-4960,-,-,"LIGO Scientific Collaboration & Virgo Collaboration, 2016",-,27
LVT151012-A,&#2866;&#2878;&#2823;&#2839;&#2891;-&#2861;&#2879;&#2864;&#2839;&#2891;&#2919;&#2923;&#2919;&#2918;&#2919;&#2920;-&#2837;,23,e18-6,13,Black hole,Binary black hole,LVT151012,,LVT,primary,Extragalactic,1730-4960,-,-,"LIGO Scientific Collaboration & Virgo Collaboration, 2016",-,26
GW150914-B,&#2862;&#2852;&#2919;&#2923;&#2918;&#2927;&#2919;&#2922;-&#2838;,28.1,e1.8-1.5,36.2,Black hole,Binary black hole,GW150914,,GW,secondary,Extragalactic,820-2020,-,-,"LIGO Scientific Collaboration & Virgo Collaboration, 2016,  Phys. Rev. Lett. 116 06110",-,25
GW150914,&#2862;&#2852;&#2919;&#2923;&#2918;&#2927;&#2919;&#2922;,62.3,e3.7-3.1,None,None,Binary black hole,,,GW,final,Extragalactic,820-2020,-,-,"LIGO Scientific Collaboration & Virgo Collaboration, 2016,  Phys. Rev. Lett. 116 06110",-,24
GW150914-A,&#2862;&#2852;&#2919;&#2923;&#2918;&#2927;&#2919;&#2922;-&#2837;,36.2,e5.2-3.8,28.1,Black hole,Binary black hole,GW150914,,GW,primary,Extragalactic,820-2020,-,-,"LIGO Scientific Collaboration & Virgo Collaboration, 2016,  Phys. Rev. Lett. 116 06110",-,23
