name,type,totalmass,totalmasserr,chirpmass,chirpmasserr,initmass1,initmass1err,initmass2,initmass2err,finalmass,finalmasserr,massratio,massratioerr,initspineff,initspinefferr,initspin1,initspin1err,initspin2,initspin2err,finalspin,finalspinerr,distance,distanceerr,redshift,redshifterr,date,far,fap,dtHL,SNR,SNRerr,sigma,skyarea,energy,energyerr,peaklum,peaklumerr,peakstrain
GW150914,GW,65.3,e4.1-3.4,28.1,e1.8-1.5,36.2,e5.2-3.8,29.1,e3.7-4.4,62.3,e3.7-3.1,0.81,e0.17-0.2,-0.06,e0.14-0.14,0.32,e0.47-0.29,0.48,e0.47-0.43,0.68,e0.05-0.06,420,e150-180,0.09,e0.029-0.036,14-09-2015T09:50:45,5.80E-07,7.00E-08,6.9,24,e0-0,5.3,220,3,e0.5-0.5,3.57,e0.54-0.36,1.00E+00
GW151226,GW,21.8,e5.9-1.7,8.88,e0.33-0.28,14.2,e8.3-3.7,7.5,e2.3-2.3,20.8,e6.1-1.7,0.52,e0.4-0.29,0.21,e0.2-0.1,0.49,e0.37-0.42,0.52,e0.43-0.47,0.47,e0.06-0.06,440,e180-190,0.094,e0.035-0.039,26-12-2015T03:38:53,6.00E-07,7.50E-08,1.1,13,e0-0,5.3,860,1,e0.1-0.2,3.3,e0.8-1.6,3.00E-01
LVT151012,LVT,37,e13-4,15.1,e1.4-1.1,23,e18-16,13,e4-5,35,e14-4,0.57,e0.38-0.37,0.03,e0.31-0.2,0.31,e0.48-0.14,0.45,e0.48-0.41,0.66,e0.09-0.1,1020,e500-490,0.201,e0.086-0.091,12-10-2015T09:54:43,0.44,0.05,-0.6,9.7,e0-0,1.7,1580,1.5,e0.3-0.4,3.1,e0.8-1.8,3.00E-01
